STATE,COUNTY,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,V_PCT_65YRS
SC,Charleston,14.7,4.4,37801,8.5,15.4,19.9,10.7,7.7,35.8,1.2,13.2,6.6,1.5,6.8,3,85
SC,Cherokee,20.5,5.9,21432,20.4,16,23.4,17.6,7,27.1,0.7,1.6,28.5,0.7,9.2,1.4,59.7
SC,Fairfield,22.9,7.9,22527,17.5,19.7,19.7,19.5,6.5,62,0.5,0.9,23.9,1.5,7.6,1.5,75.3
SD,Aurora,7.3,1.2,31468,13.2,19.5,27.6,13.1,7.8,11.8,2.7,1.4,8.2,1.2,1.6,6,67.1
SD,Bon Homme,10.9,1.4,23525,12.3,20.8,19.2,12.6,5.9,13.1,0.4,4,4.6,1.1,4.9,20.4,73.3
SD,Charles Mix,20.2,6.8,21787,12.1,18.2,29.6,14.9,7.7,37,0,3.4,5.6,3.1,6.3,3,72.4
SD,Jones,10.6,4.9,28850,6,24.5,13.7,9.4,3.5,1.4,0,0.9,17.9,0,2.2,0,85.6
SD,McCook,10,3.8,28032,12.3,18.7,27.3,10.4,7.2,5.9,1,1.8,5.8,1.3,3.4,4.8,69.3
SD,Minnehaha,10.8,3.2,30471,7.8,12.4,25.3,10.3,9.8,17.2,1.9,19.7,4,1.9,5.7,3.2,83.8
SD,Pennington,13.4,3.8,30518,6.2,16.7,23.4,13.9,9.7,19.8,0.4,11.6,11.9,2.1,5.1,3.5,59.7
SD,Yankton,12.6,3.1,31986,9.1,18,21.3,14.8,9.4,11.2,0.5,11.9,5.3,0.9,5.9,7.9,88.5
TN,Carroll,19.8,6,22007,17.9,19.8,21.3,22.3,8.3,15.3,0.1,1.4,19,1.8,7.2,3.3,81.3
TN,Dyer,18.5,7.7,25427,17.3,16.9,24,19.5,12.7,19.9,0.5,3.5,7.7,2.8,4.7,1.5,66.9
TN,Knox,15.2,4.8,31678,9,15.1,21.2,12.5,7.8,17.4,1.2,13.5,4.4,1.3,6.2,2.5,86
TN,McNairy,20.7,12.3,20236,19,20.3,22.2,19.3,7.6,10,0.3,0.9,16.3,2.1,6.2,1.3,80.5
TN,Sequatchie,16.6,5.6,22383,17.5,19.5,21.3,23,7.9,6.3,0.4,0.6,24.7,3,3.9,1.6,57.3
UT,Millard,11.4,3.2,25847,11.3,16.1,31.1,11.5,6.6,17,3,2.9,7.7,3.2,3.8,1.6,68
UT,Rich,15.9,0,21465,1.4,18.7,36.3,10.9,5.5,13.5,0.3,1.3,19.8,2.4,0.5,0.3,72.9
UT,Weber,11.3,4.3,26492,9.7,11.3,28.8,11.4,9.4,23.7,2.4,8.4,3.3,3,5.1,1.3,83.3
VA,Albemarle,9.8,2.9,42085,8.6,17.3,20.4,9,6.1,23.1,1.8,15,4.5,1.2,4.6,7.1,78
VA,Charles City,13.1,5,37059,21.4,22.9,15.7,16.8,4.3,58.2,0.1,0.8,17.1,0.9,6.2,0,72.6
VA,Charlotte,24.1,5.8,20585,16.1,21.5,21.5,21,8.2,32.3,0.1,1.6,20.9,0.1,9.1,1.3,63.4
VA,Henrico,10,5.3,37999,8.5,14.6,23.1,11,9,46.3,2.5,13.6,0.5,1.4,5.6,0.8,75.7
VA,Highland,12.3,0.6,30967,13.1,36.8,13.1,19.6,4,0.5,0,0.7,8.7,0.6,7.2,0,74.3
VA,Lancaster,9.2,3.4,37196,11.1,35.5,15.5,16.9,4.7,32.3,0.4,2.1,7,0.7,7.1,1.1,78.9
VA,Mathews,10.8,2.7,39119,9.4,29.8,15.2,15.7,2.5,14.3,0,0.5,9.2,0.5,2.7,1.4,79.6
VA,Mecklenburg,18.9,4.3,23943,19.4,25,18.8,20.6,9.1,39.9,0.3,1.3,23.1,1.3,9.4,3.3,63
VA,Middlesex,8.4,4.4,29707,14,30.9,15.9,15.5,4.6,22.6,0,0.2,9.8,1.5,6.1,3.7,79.5
VA,Scott,18.6,5.6,21157,18.8,22.7,18.5,24.8,4.6,3.3,0.5,1.8,25.1,1.8,7.8,3.4,80.4
VA,Hopewell City,21,8.3,22038,18.5,15.6,25.7,19.7,15,52.3,1.8,10.3,0.7,4.3,8.6,1,59.5
WA,Benton,12.8,5.2,31580,9.9,14.1,26.8,14.1,8.9,29.1,4,11.1,9.8,3.3,4.6,0.8,81.2
WA,Jefferson,13.3,6.3,34187,5.3,34.2,12.7,17.2,4,11.3,0.5,3.8,12.5,1.2,4.3,2.6,90.4
WA,Whatcom,15,6.3,30586,7.7,16.4,19.8,13.2,6.6,20.7,1.8,13.6,6.8,2.7,7.2,2.5,87.6
WV,Cabell,22.5,5.4,24506,12,17.8,19.8,18.8,8.5,10.1,0.3,10.7,8.1,0.8,12.1,4.2,33.2
WV,Doddridge,15,5,22598,17.3,20.1,16.5,20.9,3.5,4.5,0.2,0.7,19,1.4,4.5,8.5,6.3
WV,Hampshire,20.2,5.3,23011,18.9,21.3,19.2,25.1,7.7,4.2,0.2,1.7,18.9,2.6,6.2,2.4,37.1
WV,Monongalia,21.2,6.6,30641,7.7,11.7,16.3,12.6,5.8,12,0.4,15.5,11.2,3.1,8.2,5.5,25.3
WV,Monroe,16.4,7.8,23412,16.5,24.2,19.8,25.6,6.6,3.9,0.4,0.3,21.9,0.9,6.5,0.8,45.9
WI,Price,11.8,2.2,27569,8.8,24.5,17.3,15.8,6.6,5.7,0.1,2.4,11.2,1.7,6,1.5,88.5
WI,Waukesha,4.9,2.9,44301,3.9,17.5,22,9.6,5.2,11.2,0.7,12,0.4,1,3.8,1.3,91.3
WY,Albany,22.6,4.3,26665,4,10.9,16.8,10,3.4,17.1,0.7,13.5,8.5,2.4,4.7,5.9,83
WY,Lincoln,9.1,4.4,30106,6.2,15.9,27.4,11.8,7.4,7.6,0.3,1.1,11.2,2.5,2.6,0.6,69.5
WY,Niobrara,16.1,1.4,22688,11.9,19.1,19.6,17.5,5.5,10.6,0.3,2.2,14.7,1.6,3.3,12.5,58.4
WY,Sweetwater,12,5.2,32624,9,10.7,26.8,12.3,10,20.4,1.6,5.5,22.1,1.9,2.4,1.3,82.4
WY,Uinta,12.5,6.1,27009,7.2,12.1,29.5,17.2,6.8,12.5,0.7,5.8,25.2,2.8,3.9,1.3,78.7
AL,Escambia,24,13.5,18161,18.5,17.3,22.3,18.8,8.5,39.8,0.5,1,17.5,2,4.9,7.6,65.8
AL,Pickens,23.5,10.6,22417,19.4,18.4,19.7,24.5,8.1,46.2,1.7,1.4,23.7,1.2,9.7,7.6,67.1
AZ,Coconino,18.9,7.5,26387,10.4,11.6,21.1,11.9,7.5,45.9,2.2,7.5,13.1,6.8,5,9.7,99.9
AR,Arkansas,20,6.3,24714,17,18.4,23,24.4,10.8,30,0.1,1.9,15.5,1.5,10.3,1.4,73.4
AR,Calhoun,15.6,6.1,24509,17.3,20.8,19.9,24.6,7.3,27.4,0,0,29.4,1.2,5.7,2.7,53.4
AR,Columbia,25.2,10.2,21372,15,16.9,21.2,18.5,10.7,40.8,0.9,4.1,17.6,4.3,5.3,7.4,69.7
AR,Sharp,21.6,5,20721,16.4,25.7,21.3,26.6,8.3,6.3,0.1,1.5,14.2,3.2,4.2,1.3,55
CA,Amador,9.7,8.6,30100,9.7,26.3,15.4,18.5,5.8,21.3,1.1,3,7.2,2.8,5.5,9.7,77.1
CA,Del Norte,22.5,8.3,22832,19,16.7,21.7,21,8.8,37.4,1.7,3.2,19.4,4.7,9.6,11.3,66.4
CA,Napa,8.1,5,42677,14.9,18,21.3,11.8,7,47.2,8.4,8.9,6.4,6.3,5,2.9,85.2
CA,Santa Cruz,14.3,6.3,39001,13.6,15,19.6,11.1,7.1,42.5,7.8,8.6,5.7,7.3,5.5,4.6,90.5
CA,Ventura,9.6,5.9,36891,15.6,14.6,23.5,10.9,7.7,54.2,9.7,10.8,3.8,6.6,4.2,1.5,85.5
CO,Garfield,8.1,4.3,32491,12.2,12,25.7,8.2,7.2,31.5,5.1,7.1,10.1,5.8,2.8,1.6,80.5
CO,Lincoln,13.4,3,16219,9.7,17.1,20,15.7,5.4,33.9,3.5,3.4,17.1,0.6,4.8,36.1,61.4
CO,Morgan,10,4.4,24189,19.9,15.3,26.3,11.7,11.7,41.3,8.1,7.5,12,4.3,4.5,1.4,68
CO,Saguache,17.7,6.9,22901,19.6,21.4,21.8,17.4,3.7,41.5,5,0,21.3,5.4,9.2,0.3,47.4
CO,San Juan,4.6,2.8,33984,7.1,27.9,12.7,13.6,2.6,10.1,0.8,15.7,3.5,2.3,7.5,0,80.3
FL,Bradford,20.3,5.9,20481,21.7,17.8,20.3,19.9,10.4,25.9,0.5,3.3,32.9,2.2,8.7,13.3,71.8
FL,Hillsborough,15.3,6.1,31173,11.6,13.8,22.9,11.5,10.3,50.5,6.3,17,7,3.3,6.8,1.5,81.2
FL,Jefferson,14.1,4.9,23448,17.9,22,16.4,16.4,7.5,40.6,0.6,0,36.8,1.5,4.1,16.4,99.9
