STATE,COUNTY,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,V_PCT_65YRS
NC,Columbus,23.8,7,22081,18.4,19.2,21.6,20,10.6,40.7,1.6,0.9,31.4,2.4,8,5.3,61.7
NC,Forsyth,17.6,6.4,29921,11.2,15.2,23.4,10.3,10.1,43,3.1,13.6,3.8,2.1,7.5,2.9,82.7
NC,Gates,11.1,6.8,25334,13.7,19.1,20.7,21.9,6.7,37,0.1,0,32.5,1.6,4.5,0.4,71.3
NC,Harnett,17,7.9,23011,13.7,11.8,26.7,13.4,10.6,38.2,1.8,1.2,21.7,2.3,5.4,2.5,71.8
NC,Henderson,10.6,2.9,29860,10.1,25.1,19.4,14.9,6.3,16.8,2.7,3.4,15.4,2.3,4.7,1.2,75.2
NC,Jackson,19.4,4.7,24073,11.6,18.9,17,14.1,7.7,19.1,1.4,3.9,17.8,2.2,5.3,8.8,72.3
NC,Lee,16.1,7.9,23842,16.6,15.8,24.7,15.3,9.7,42,4.8,3.5,14.4,2.6,5.7,1.6,83.3
NC,McDowell,17.1,5.8,22725,16.2,19.5,20.6,21.1,9,12.5,1.2,1.2,31.2,2.7,5.8,2.5,84.4
NC,Macon,16.6,4.5,28429,11.4,28.1,18.6,17.5,5.7,10.7,1.7,0.9,13.7,2.1,5.4,1,46.3
NC,Martin,18.2,10.9,23269,16.7,21.8,20.7,19.4,10.5,47.9,0.5,0.7,21.8,0.8,7.4,0.6,99.9
NC,New Hanover,17.3,6.2,32629,7.1,16.7,18.9,12.7,8.1,22.9,1.3,14.9,4.1,1.4,6.4,3.2,82.8
NC,Orange,13.4,4.4,40650,7.3,12.8,20,8.8,7,30.7,3,15.1,8.3,2.1,5,7.9,95
NC,Pamlico,14.1,7.9,27026,12,28.1,15.5,21.4,4.6,25.8,1.3,0.7,25.5,2.6,7,5.7,79.8
NC,Transylvania,14.7,5.8,27050,11.4,29,16,16.3,5.6,9.7,1,1.3,14,1.9,4.2,3.8,66.6
NC,Union,8.9,5.3,34379,10.2,12,27.7,9.4,7.8,27.4,2.6,1.6,5.9,2.5,2.6,1,77.7
NC,Wake,9.8,4.3,39102,7.3,10.9,24.4,8.5,8.7,39.7,2.5,17,3.2,2.2,4,2.1,91.9
NC,Wayne,21.4,7.8,24124,15.9,15.6,23.9,16.5,12.3,46.3,4.2,3.5,24.7,2.4,8.5,2.5,70.6
NC,Wilkes,19.9,5.8,23745,21.4,20.5,20.8,18.7,7.2,12.4,1.4,1.9,27.6,1.6,6,1.3,65.7
NC,Wilson,21.5,8,24273,19.7,17,23.4,15.7,12.3,52.8,2,2.8,13.5,3.2,9.5,1.9,75.9
NC,Yancey,19.2,7.8,23264,15.8,24.8,18.7,18.5,6.1,7.4,1.4,1.9,21.6,1.6,5,0.8,74
ND,Burleigh,8.3,1.9,37764,6,15.2,23.1,9.9,8.8,10.6,0.4,18.3,7.8,1.9,5.1,3.4,73.1
ND,Cass,10.7,2.9,36655,5.5,11.3,22.3,9.4,7.7,13.9,1.1,36.7,2.1,1.6,5.5,2.9,81.8
ND,Cavalier,10,1.3,43125,8.5,26.9,21.2,9.8,3.2,4.9,0.6,0.9,4.9,0.9,2.2,2.6,75.8
ND,Emmons,10.2,1.4,29417,12.9,29.7,19.4,15.9,4.6,4.2,0.1,3,12,0.2,4.2,1.6,57
ND,Grand Forks,17.2,3.8,31052,5.1,11.9,20.7,10.2,8.4,15.9,0.6,33,3.8,2.4,6.6,6.3,82.2
ND,Grant,11.8,2.4,36287,8.8,29,20.2,14.4,1.5,2.4,0.2,1.6,14.2,1.5,2.9,2.2,30.9
ND,Griggs,8.1,1.3,35069,9.6,28.9,19.3,14.9,7.2,4.7,0.3,4,2.5,0,3.5,4.3,66.7
ND,LaMoure,11.6,0.5,36584,15.9,24.5,20.8,11.4,1.3,3.7,1,0.7,4.7,0.1,3.9,1.8,69.7
ND,Logan,7.5,0.9,33396,13.4,29.8,19.3,11.4,1.1,2.5,0.3,1.1,5.7,1.4,3.1,4.3,61.2
ND,McIntosh,8.1,0.3,32389,19.9,31.3,17.6,14,7.7,5.2,0.2,1.7,4.9,0.4,4.1,4,60.4
ND,Nelson,10.5,0.3,33360,8.3,27.6,18.3,14.4,4.9,3.5,0,1.9,6,1.8,2.3,2.6,99.9
ND,Ramsey,11.6,0.8,35059,8.2,18.9,23.4,15.1,8.8,15.9,0,14.6,7,1.6,8.5,4.2,82.5
ND,Richland,9.4,3,30820,9.4,16.8,21.3,10.8,6.9,8.4,0.3,14.6,6.6,0.8,4.2,7.7,76.5
ND,Sheridan,14,2.6,32559,14.4,28,16.2,13.5,5.4,1.9,0.5,2.6,9.5,0.7,4.8,0,51.3
ND,Slope,5.5,1.2,37340,10.7,27.3,21.4,17.8,3,6.4,0,0,16.1,0,0.9,0,22.5
ND,Stark,8.8,3.3,37897,8.2,12.8,25.3,10.5,6.9,12.2,0.6,19.5,7.4,3,4.5,2.7,68.1
ND,Ward,9.1,2.9,34382,6.6,12,23.6,10,6.4,16.5,0.5,19.1,8.2,2.5,4.1,3.2,74.8
ND,Wells,6.6,2.7,34602,15,26.9,20.6,16.9,3.4,2.2,0,1.9,7.2,0.8,2.7,2.4,62.4
OH,Adams,22.6,7.1,21543,20.8,16.9,24.6,20.2,11.1,3.6,0.1,1.2,24.5,1.6,10.3,1.4,62.6
OH,Coshocton,16.4,6.2,22471,15.8,18.5,23.6,15.7,8.3,4,0.6,1.3,13.5,2.5,10.5,1.3,69.6
OH,Delaware,4.6,2.7,47183,3.3,12.7,27,7.9,6.6,14.3,0.7,5.5,1.8,0.7,2.5,1.3,94.1
OH,Fayette,17,6,24931,13.9,17,23.9,16.7,11.7,7.4,0.6,2.3,5.9,0.9,6.8,1.3,77.1
OH,Franklin,16.3,5.2,32552,9,11.4,23.5,11.2,10.7,36.4,2.3,14.4,0.9,2.1,7.6,2.2,87.2
OH,Lawrence,18.6,6.2,23692,13.5,18.2,22.2,22.7,9.3,5.2,0.3,2.1,17,1.2,7.2,1.1,66.8
OH,Madison,10.2,4.8,28331,13,14.9,20.8,15.3,9.8,11.4,0.5,3.6,5.3,1.6,5.3,11.5,79.6
OH,Marion,16,6.7,22878,12.4,17.1,21,19.4,8.4,11.5,0.4,5.2,4,1.4,9.2,8.7,79.6
OH,Morgan,19.1,5,22454,13.5,19.9,21.4,22.1,9.2,7.8,0.2,1.6,21,1.4,6.9,1.2,68.3
OH,Wood,13.3,4.8,31324,5.9,14.5,20.5,11.4,6.8,11.6,0.7,12.2,6.9,0.9,4.7,5.4,92.1
OK,Alfalfa,8.9,3.4,27871,13.2,18.7,20,16.9,7.7,23.4,0.8,0.3,7.5,1.4,3,18.7,70
OK,Beaver,12.6,4.5,24610,15.8,18.9,25.1,10.4,6.5,26.8,4.7,0.5,21.2,1.8,4,1.5,53.9
OK,Beckham,14.2,4.2,24049,13,13.1,25.4,15.2,8.4,24.5,1,4,11.3,2.8,7.6,8.2,74.2
OK,Blaine,12.8,3,25708,17.5,18,21,19.8,10.5,26.7,4.1,0.4,18.4,2.7,3.3,15.3,63.4
OK,Cimarron,16.4,1.9,27929,13.6,24.4,24.6,14.9,7.9,22.6,2.9,0,16.1,2.6,0.9,0.9,47.9
OK,Custer,17.6,3.3,25569,14.1,13.5,25.1,13.1,11.2,31.4,3.1,5.8,12.7,4.7,3.3,5.7,81.2
OK,Dewey,17.1,1.7,27432,7.2,18.6,27.1,15.5,5.1,17.4,1,0.2,16.2,0.8,2.1,2,58.8
OK,Harmon,15.7,4.3,22588,23.1,18.6,24.1,19.9,10.4,42.1,2.2,0,2.1,2.4,8,3.8,75.8
OK,Hughes,21.8,8.5,20438,18.4,18.6,21.8,21.4,7.6,36.9,0.4,0.5,16,1.8,5.4,12.1,73.1
OK,Johnston,20.1,7.1,20930,16.1,18.7,23.6,23.6,9.7,30.3,0.4,0.2,19.5,3.1,5.2,2.4,64.1
OK,Latimer,18.9,8.1,23842,12.2,21,21.9,24,9.4,34.5,0.6,1.6,20.2,3.5,6.5,3.7,48.8
OK,Mayes,17.4,5.3,23861,13.4,17.9,23.8,22.3,9.5,34.9,0.3,2.3,20.4,4,4.7,1.4,67.3
OK,Murray,14.9,3.8,26837,16.5,18.9,23.4,23.8,8.4,27.5,1.1,2.7,11.9,3.4,4.3,2.8,68.7
OK,Muskogee,21.1,6.3,22775,14.9,16.2,24.5,17.8,11.7,43.8,0.9,6.5,11.6,2.2,8.6,5.5,79
OK,Oklahoma,16.7,4.9,30398,12.8,13,25.7,13.6,10.6,43.6,4,11.3,2.8,2.8,6.1,2.1,86.8
OK,Okmulgee,20,9.5,22400,14,17.8,23.9,20.1,10.9,37.5,0.1,1.5,16.6,2.1,7.1,3.7,66.3
OK,Ottawa,21.4,6.6,20209,15.1,18,24.8,19.9,12,34.7,1,4.1,13.4,3.6,6.4,3.4,67.9
OK,Pittsburg,17.4,6.5,24750,13.1,19.2,22.2,23.7,9.1,30.3,0.8,1.8,13.1,2.3,6.9,5.1,65
OK,Pushmataha,18.4,7.5,23346,16.5,22.5,22.3,27.2,6.8,28.5,0.2,1.1,18,3.7,8,1,55.4
OK,Tulsa,15.1,5.5,30894,10.8,13.6,25.4,13.7,10.6,37.5,3.4,15,2.4,2.8,6.8,1.3,88.1
OK,Woods,13.6,4.5,27232,10.8,16.4,20.1,15.9,8.5,16.8,0.5,6.7,6.6,0.1,3.8,9.4,78.5
OR,Baker,15.7,8.3,26152,10.4,25.5,19.4,21.8,5.4,9.2,0.5,4,15.1,2.8,6.9,3.6,99.9
OR,Benton,19.4,6.2,32297,4.6,15.1,16.5,11,5.2,19.4,1.6,12.9,6.2,2,7.1,6.4,91.4
OR,Clackamas,8.5,4.7,39619,6.7,17,21.9,11.7,6.9,17.7,1.8,11.6,6,2.5,5.2,0.8,82.5
